Prompt,Response
Create a CAD model of a C block of thickness 0.25mm using mirror feature. The length of the ends of the C block is 0.5mm and the overall length of the block is 1.0mm. ,"```python
#filename: C-block.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  A horizontal line is drawn on the workplane with the hLine function.
# 2a. 1.0 is the distance, not coordinate. hLineTo allows using xCoordinate
#     not distance.
r = cq.Workplane(""front"").hLine(1.0)

# 3.  Draw a series of vertical and horizontal lines with the vLine and hLine
#     functions.
r = r.vLine(0.5).hLine(-0.25).vLine(-0.25).hLineTo(0.0)

# 4.  Mirror the geometry about the Y axis and extrude it into a 3D object.
result = r.mirrorY().extrude(0.25)

# Displays the result of this script
show(result)

```"
Create a CAD model of a plate using lines and arcs and extrude it with thickness of 0.25mm. The overall width of the plate is 2.0 mm,"```python
#filename: extruded_plate_with_Lines_and_Arcs.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# These can be modified rather than hardcoding values for each dimension.
width = 2.0  # Overall width of the plate
thickness = 0.25  # Thickness of the plate

# Extrude a plate outline made of lines and an arc
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  Draws a line from the origin to an X position of the plate's width.
# 2a. The starting point of a 2D drawing like this will be at the center of the
#     workplane (0, 0) unless the moveTo() function moves the starting point.
# 3.  A line is drawn from the last position straight up in the Y direction
#     1.0 millimeters.
# 4.  An arc is drawn from the last point, through point (1.0, 1.5) which is
#     half-way back to the origin in the X direction and 0.5 mm above where
#     the last line ended at. The arc then ends at (0.0, 1.0), which is 1.0 mm
#     above (in the Y direction) where our first line started from.
# 5.  An arc is drawn from the last point that ends on (-0.5, 1.0), the sag of
#     the curve 0.2 determines that the curve is concave with the midpoint 0.1 mm
#     from the arc baseline. If the sag was -0.2 the arc would be convex.
#     This convention is valid when the profile is drawn counterclockwise.
#     The reverse is true if the profile is drawn clockwise.
#     Clockwise:        +sag => convex,  -sag => concave
#     Counterclockwise: +sag => concave, -sag => convex
# 6.  An arc is drawn from the last point that ends on (-0.7, -0.2), the arc is
#     determined by the radius of -1.5 mm.
#     Clockwise:        +radius => convex,  -radius => concave
#     Counterclockwise: +radius => concave, -radius => convex
# 7.  close() is called to automatically draw the last line for us and close
#     the sketch so that it can be extruded.
# 7a. Without the close(), the 2D sketch will be left open and the extrude
#     operation will provide unpredictable results.
# 8.  The 2D sketch is extruded into a solid object of the specified thickness.
result = (
    cq.Workplane(""front"")
    .lineTo(width, 0)
    .lineTo(width, 1.0)
    .threePointArc((1.0, 1.5), (0.0, 1.0))
    .sagittaArc((-0.5, 1.0), 0.2)
    .radiusArc((-0.7, -0.2), -1.5)
    .close()
    .extrude(thickness)
)

# Displays the result of this script
show(result)

```"
Create a CAD model of a plate with two polygons cut through it. The dimension of the plate is 3mm x 4mm x 0.25mm. The polygons are hexagons inscribed in a circle of diameter 1.0 mm.,"```python
#filename: plate_with_hexagonal_holes.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# These can be modified rather than hardcoding values for each dimension.
width = 3.0  # The width of the plate
height = 4.0  # The height of the plate
thickness = 0.25  # The thickness of the plate
polygon_sides = 6  # The number of sides that the polygonal holes should have
polygon_dia = 1.0  # The diameter of the circle enclosing the polygon points

# Create a plate with two polygons cut through it
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  A 3D box is created in one box() operation to represent the plate.
# 2a. The box is centered around the origin, which creates a result that may
#     be unituitive when the polygon cuts are made.
# 3.  2 points are pushed onto the stack and will be used as centers for the
#     polygonal holes.
# 4.  The two polygons are created, on for each point, with one call to
#     polygon() using the number of sides and the circle that bounds the
#     polygon.
# 5.  The polygons are cut thru all objects that are in the line of extrusion.
# 5a. A face was not selected, and so the polygons are created on the
#     workplane. Since the box was centered around the origin, the polygons end
#     up being in the center of the box. This makes them cut from the center to
#     the outside along the normal (positive direction).
# 6.  The polygons are cut through all objects, starting at the center of the
#     box/plate and going ""downward"" (opposite of normal) direction. Functions
#     like cutBlind() assume a positive cut direction, but cutThruAll() assumes
#     instead that the cut is made from a max direction and cuts downward from
#     that max through all objects.
result = (
    cq.Workplane(""front"")
    .box(width, height, thickness)
    .pushPoints([(0, 0.75), (0, -0.75)])
    .polygon(polygon_sides, polygon_dia)
    .cutThruAll()
)

# Displays the result of this script
show(result)

```"
"Create a CAD model of a rectangular block of length 2mm, breadth 2mm and thickness 0.5mm with four holes of diameter 0.125 mm located at the vertices of the construction rectangle of dimension 1.5mmx 1.5mm","```python
#filename: rectangular_block_4_holes.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# Create a block with holes in each corner of a rectangle on that workplane.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  Creates a plain box to base future geometry on with the box() function.
# 3.  Selects the top-most Z face of the box.
# 4.  Creates a new workplane to build new geometry on.
# 5.  Creates a for-construction rectangle that only exists to use for placing
#     other geometry.
# 6.  Selects the vertices of the for-construction rectangle.
# 7.  Places holes at the center of each selected vertex.
result = (
    cq.Workplane(""front"")
    .box(2, 2, 0.5)
    .faces("">Z"")
    .workplane()
    .rect(1.5, 1.5, forConstruction=True)
    .vertices()
    .hole(0.125)
)

# Displays the result of this script
show(result)

```"
Create CAD model of a cylinder plate of radius 50mm and thickness 13mm with a rectangualr hole of 19mm x 13mm at its centre.,"```python
#filename: extruded_Cylindrical_Plate.py
from ocp_vscode import show #importing for visualization
import cadquery as cq
from ocp_vscode import show #importing for visualization

# These can be modified rather than hardcoding values for each dimension.
circle_radius = 50.0  # Radius of the plate
thickness = 13.0  # Thickness of the plate
rectangle_width = 13.0  # Width of rectangular hole in cylindrical plate
rectangle_length = 19.0  # Length of rectangular hole in cylindrical plate

# Extrude a cylindrical plate with a rectangular hole in the middle of it.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  The 2D geometry for the outer circle is created at the same time as the
#     rectangle that will create the hole in the center.
# 2a. The circle and the rectangle will be automatically centered on the
#     workplane.
# 2b. Unlike some other functions like the hole(), circle() takes
#     a radius and not a diameter.
# 3.  The circle and rectangle are extruded together, creating a cylindrical
#     plate with a rectangular hole in the center.
# 3a. circle() and rect() could be changed to any other shape to completely
#     change the resulting plate and/or the hole in it.
result = (
    cq.Workplane(""front"")
    .circle(circle_radius)
    .rect(rectangle_width, rectangle_length)
    .extrude(thickness)
)

# Displays the result of this script
show(result)

```"
Create a CAD model of a cylindrical plate of radius 3mm and thickness 0.25mm with a circular hole of radius 0.25mm at distance of 1.5mm from the centre along the y-axis and a square hole of 0.5mm x 0.5mm at the distance of 1.5mm from the center along the x-axis.,"```python
#filename: cylindrical_plate_with_holes.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# These can be modified rather than hardcoding values for each dimension.
circle_radius = 3.0  # The outside radius of the plate
thickness = 0.25  # The thickness of the plate

# Make a plate with two cutouts in it by moving the workplane center point
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 1b. The initial workplane center point is the center of the circle, at (0,0).
# 2.  A circle is created at the center of the workplane
# 2a. Notice that circle() takes a radius and not a diameter
result = cq.Workplane(""front"").circle(circle_radius)

# 3.  The work center is movide to (1.5, 0.0) by calling center().
# 3a. The new center is specified relative to the previous center,not
#     relative to global coordinates.
# 4.  A 0.5mm x 0.5mm 2D square is drawn inside the circle.
# 4a. The plate has not been extruded yet, only 2D geometry is being created.
result = result.center(1.5, 0.0).rect(0.5, 0.5)

# 5.  The work center is moved again, this time to (-1.5, 1.5).
# 6.  A 2D circle is created at that new center with a radius of 0.25mm.
result = result.center(-1.5, 1.5).circle(0.25)

# 7.  All 2D geometry is extruded to the specified thickness of the plate.
# 7a. The small circle and the square are enclosed in the outer circle of the
#      plate and so it is assumed that we want them to be cut out of the plate.
#      A separate cut operation is not needed.
result = result.extrude(thickness)

# Displays the result of this script
show(result)

```"
Create a CAD model of a box shell of dimension 2mmx2mm x 2mm with thickness 0.05mm with its top face removed.,"```python
#filename: open_box_shell.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# Create a hollow box that's open at the top face.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the named plane orientation ""front"" to define the workplane, meaning
#     that the positive Z direction is ""up"", and the negative Z direction
#     is ""down"".
# 2.  Creates a plain box to base future geometry on with the box() function.
# 3.  Selects faces with normal in +z direction.
# 4.  Create a shell by cutting out the top-most Z face.
result = cq.Workplane(""front"").box(2, 2, 2).faces(""+Z"").shell(0.05)

# Displays the result of this script
show(result)
```"
"Create a CAD model of a swept helix of radius 0.5mm, pitch 0.4 mm and height 2.4mm.","```python
#filename: Swept_Helix.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

r = 0.5  # Radius of the helix
p = 0.4  # Pitch of the helix - vertical distance between loops
h = 2.4  # Height of the helix - total height

# Helix
wire = cq.Wire.makeHelix(pitch=p, height=h, radius=r)
helix = cq.Workplane(obj=wire)

# Final result: A 2D shape swept along a helix.
result = (
    cq.Workplane(""XZ"")  # helix is moving up the Z axis
    .center(r, 0)  # offset isosceles trapezoid
    .polyline(((-0.15, 0.1), (0.0, 0.05), (0, 0.35), (-0.15, 0.3)))
    .close()  # make edges a wire
    .sweep(helix, isFrenet=True)  # Frenet keeps orientation as expected
)

show(result)

```"
"Create a CAD model of a rectangular Lego™ brick using the provided specifications: a bump pitch of 8.0 mm, bump diameter of 4.8 mm, and bump height of 1.8 mm. The brick should be parametrized by the number of bumps in length (lbumps) and width (wbumps), with the option to set it as thin (3.2 mm high) or thick (9.6 mm high). The base should be hollow with walls of appropriate thickness, and it should include circular bumps on the top and posts or tubes on the bottom for interlocking, designed according to the brick’s size. ","```python
#filename: lego_Brick.py
from ocp_vscode import show #importing for visualization
# This script can create any regular rectangular Lego(TM) Brick
import cadquery as cq

#####
# Inputs
######
lbumps = 1  # number of bumps long
wbumps = 1  # number of bumps wide
thin = True  # True for thin, False for thick

#
# Lego Brick Constants-- these make a lego brick a lego :)
#
pitch = 8.0
clearance = 0.1
bumpDiam = 4.8
bumpHeight = 1.8
if thin:
    height = 3.2
else:
    height = 9.6

t = (pitch - (2 * clearance) - bumpDiam) / 2.0
postDiam = pitch - t  # works out to 6.5
total_length = lbumps * pitch - 2.0 * clearance
total_width = wbumps * pitch - 2.0 * clearance

# make the base
s = cq.Workplane(""XY"").box(total_length, total_width, height)

# shell inwards not outwards
s = s.faces(""<Z"").shell(-1.0 * t)

# make the bumps on the top
s = (
    s.faces("">Z"")
    .workplane()
    .rarray(pitch, pitch, lbumps, wbumps, True)
    .circle(bumpDiam / 2.0)
    .extrude(bumpHeight)
)

# add posts on the bottom. posts are different diameter depending on geometry
# solid studs for 1 bump, tubes for multiple, none for 1x1
tmp = s.faces(""<Z"").workplane(invert=True)

if lbumps > 1 and wbumps > 1:
    tmp = (
        tmp.rarray(pitch, pitch, lbumps - 1, wbumps - 1, center=True)
        .circle(postDiam / 2.0)
        .circle(bumpDiam / 2.0)
        .extrude(height - t)
    )
elif lbumps > 1:
    tmp = (
        tmp.rarray(pitch, pitch, lbumps - 1, 1, center=True)
        .circle(t)
        .extrude(height - t)
    )
elif wbumps > 1:
    tmp = (
        tmp.rarray(pitch, pitch, 1, wbumps - 1, center=True)
        .circle(t)
        .extrude(height - t)
    )
else:
    tmp = s

# Render the solid
show_object(tmp)

```"
"
Create a CAD model of a rectangular plate with rounded corners along the Z-axis. The plate should be 3 units in length, 3 units in width, and 0.5 units in height. Apply fillets with a radius of 0.125 units to all edges parallel to the Z-axis.","```python
#filename: rectangular_plate_with_rounded_corners.py
from ocp_vscode import show #importing for visualization
import cadquery as cq

# Create a plate with 4 rounded corners in the Z-axis.
# 1.  Establishes a workplane that an object can be built on.
# 1a. Uses the X and Y origins to define the workplane, meaning that the
#     positive Z direction is ""up"", and the negative Z direction is ""down"".
# 2.  Creates a plain box to base future geometry on with the box() function.
# 3.  Selects all edges that are parallel to the Z axis.
# 4.  Creates fillets on each of the selected edges with the specified radius.
result = cq.Workplane(""XY"").box(3, 3, 0.5).edges(""|Z"").fillet(0.125)

# Displays the result of this script
show(result)

```"
